Latitude: 35.9621  Longitude: -84.2916
X & Y on Lambert Conformal Conic: 1353940.26 -566314.67
Tile: 11208
Elevation: 310 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,291,39423.54,0.00,403.79,0.00,20.85,5.08,876.88
2021,292,39293.18,0.00,392.75,0.00,21.29,5.95,931.46
2021,293,39163.61,6.51,290.38,0.00,22.81,6.94,996.98
2021,294,39034.87,14.93,240.98,0.00,22.43,11.10,1320.88
2021,295,38906.99,0.00,228.00,0.00,16.42,9.43,1180.96
2021,296,38780.01,0.00,342.73,0.00,19.41,6.87,992.79
2021,297,38653.96,0.00,365.04,0.00,23.15,8.05,1076.09
2021,298,38528.89,6.81,242.27,0.00,21.83,9.92,1220.79
2021,299,38404.83,0.00,277.09,0.00,15.51,6.54,970.02
2021,300,38281.82,0.00,352.66,0.00,16.72,3.36,777.12
2021,301,38159.90,6.52,243.70,0.00,18.14,6.40,960.63
2021,302,38039.11,4.67,90.33,0.00,12.67,9.23,1165.76
2021,303,37919.50,6.75,84.21,0.00,12.73,9.60,1195.12
2021,304,37801.09,0.00,208.88,0.00,15.04,8.88,1138.20
2021,305,37683.95,0.00,322.41,0.00,17.96,6.47,965.57
2021,306,37568.10,0.00,240.92,0.00,13.07,5.64,911.51
2021,307,37453.59,0.00,198.21,0.00,10.14,4.31,830.65
2021,308,37340.46,0.00,197.31,0.00,9.55,3.68,794.99
2021,309,37228.77,0.00,330.19,0.00,12.98,0.50,633.04
2021,310,37118.55,0.00,347.70,0.00,14.88,0.07,613.95
2021,311,37009.84,0.00,356.57,0.00,16.90,-0.22,601.17
2021,312,36902.71,0.00,358.85,0.00,20.66,1.14,663.31
2021,313,36797.18,0.00,351.81,0.00,21.85,2.57,734.72
2021,314,36693.31,0.00,335.81,0.00,22.01,4.72,855.15
2021,315,36591.14,12.87,231.95,0.00,21.05,6.42,962.01
2021,316,36490.72,0.00,269.94,0.00,16.63,5.34,892.75
2021,317,36392.10,0.00,234.49,0.00,10.05,1.06,659.53
2021,318,36295.32,0.00,299.58,0.00,11.97,-1.32,554.38
2021,319,36200.44,0.00,278.84,0.00,11.42,-0.52,587.83
2021,320,36107.49,0.00,286.81,0.00,15.12,2.13,712.28
2021,321,36016.52,0.00,286.28,0.00,21.51,7.61,1044.43
2021,322,35927.59,1.77,284.98,0.00,16.89,3.64,792.84
2021,323,35840.74,0.00,280.03,0.00,10.10,-2.15,521.47
2021,324,35756.01,0.00,301.46,0.00,12.60,-2.02,526.67
2021,325,35673.45,8.24,213.67,0.00,13.59,0.03,611.92
2021,326,35593.11,0.00,249.04,0.00,10.76,-0.02,609.80
2021,327,35515.03,0.00,266.72,0.00,7.56,-4.21,447.13
2021,328,35439.26,0.00,310.63,0.00,13.13,-3.90,457.76
2021,329,35365.83,3.28,213.48,0.00,14.61,0.13,616.54
2021,330,35294.80,0.00,221.95,0.00,8.23,-1.24,557.58
2021,331,35226.21,0.00,297.18,0.00,12.04,-3.90,457.68
2021,332,35160.09,0.00,283.93,0.00,14.12,-1.11,563.06
